K,D,c_0,D_uk,D_dk,KF_obs_point,KF_process_sigma,KF_measure_sigma
0,5,0,5,5,3,0.01,0.4
0,5,0,5,5,,,
0,5,0,5,5,,,
0,5,0,5,5,,,
0,5,0,5,5,,,
0,5,0,5,5,,,
0,5,0,5,5,,,
0,5,0,5,5,,,
0,5,0,5,5,,,
0,5,0,5,5,,,
0,5,0,5,5,,,
