id,sj_0,sj_1,A,orientation,z_o,y_max,C
0,1,12,0.0929,BOTTOM,0,0.3048,0.65
1,10,13,0.0929,BOTTOM,0,0.3048,0.65
2,8,14,0.0929,BOTTOM,0,0.3048,0.65
3,4,16,0.0929,BOTTOM,0,0.3048,0.65
4,0,15,0.0929,BOTTOM,0,0.3048,0.65
5,9,17,0.0929,BOTTOM,0,0.3048,0.65
6,2,18,0.0929,BOTTOM,0,0.3048,0.65
7,3,19,0.0929,BOTTOM,0,0.3048,0.65
8,5,20,0.0929,BOTTOM,0,0.3048,0.65
9,7,21,0.0929,BOTTOM,0,0.3048,0.65
10,6,11,0.0929,BOTTOM,0,0.3048,0.65
